StringID     Type         x            y            demand       ReadyTime    DueDate      ServiceTime  PartnerID    
D0           d            40.0         50.0         0.0          0.0          4944.0       0.0          0            
S0           f            40.0         50.0         0.0          0.0          4944.0       0.0          0            
S3           f            57.0         82.0         0.0          0.0          4944.0       0.0          0            
S7           f            21.0         83.0         0.0          0.0          4944.0       0.0          0            
S13          f            22.0         34.0         0.0          0.0          4944.0       0.0          0            
S15          f            39.0         26.0         0.0          0.0          4944.0       0.0          0            
C1	cp	35.0 	66.0 	40.0 	316.0 	3380.0 	90.0 	C2
C2	cd	22.0 	75.0 	-40.0 	968.0 	4424.0 	90.0 	C1
C3	cd	15.0 	75.0 	-30.0 	0.0 	4440.0 	90.0 	C4
C4	cp	15.0 	80.0 	30.0 	620.0 	3652.0 	90.0 	C3
C5	cd	20.0 	55.0 	-40.0 	0.0 	4500.0 	90.0 	C13
C6	cd	8.0 	40.0 	-50.0 	1420.0 	4548.0 	90.0 	C11
C7	cp	5.0 	35.0 	20.0 	1020.0 	4100.0 	90.0 	C9
C8	cd	35.0 	30.0 	-10.0 	572.0 	4796.0 	90.0 	C16
C9	cd	32.0 	30.0 	-20.0 	0.0 	4496.0 	90.0 	C7
C10	cp	26.0 	32.0 	20.0 	0.0 	4492.0 	90.0 	C12
C11	cp	38.0 	15.0 	50.0 	264.0 	3696.0 	90.0 	C6
C12	cd	50.0 	30.0 	-20.0 	720.0 	4256.0 	90.0 	C10
C13	cp	68.0 	60.0 	40.0 	0.0 	4464.0 	90.0 	C5
C14	cp	62.0 	80.0 	50.0 	0.0 	4432.0 	90.0 	C15
C15	cd	58.0 	75.0 	-50.0 	0.0 	4460.0 	90.0 	C14
C16	cp	35.0 	30.0 	10.0 	572.0 	1196.0 	10.0 	C8
C17	cp	35.0 	66.0 	40.0 	316.0 	3380.0 	90.0 	C18
C18	cd	22.0 	75.0 	-40.0 	968.0 	4424.0 	90.0 	C17
C19	cd	15.0 	75.0 	-30.0 	0.0 	4440.0 	90.0 	C20
C20	cp	15.0 	80.0 	30.0 	620.0 	3652.0 	90.0 	C19
C21	cd	20.0 	55.0 	-40.0 	0.0 	4500.0 	90.0 	C29
C22	cd	8.0 	40.0 	-50.0 	1420.0 	4548.0 	90.0 	C27
C23	cp	5.0 	35.0 	20.0 	1020.0 	4100.0 	90.0 	C25
C24	cd	35.0 	30.0 	-10.0 	572.0 	4796.0 	90.0 	C32
C25	cd	32.0 	30.0 	-20.0 	0.0 	4496.0 	90.0 	C23
C26	cp	26.0 	32.0 	20.0 	0.0 	4492.0 	90.0 	C28
C27	cp	38.0 	15.0 	50.0 	264.0 	3696.0 	90.0 	C22
C28	cd	50.0 	30.0 	-20.0 	720.0 	4256.0 	90.0 	C26
C29	cp	68.0 	60.0 	40.0 	0.0 	4464.0 	90.0 	C21
C30	cp	62.0 	80.0 	50.0 	0.0 	4432.0 	90.0 	C31
C31	cd	58.0 	75.0 	-50.0 	0.0 	4460.0 	90.0 	C30
C32	cp	35.0 	30.0 	10.0 	572.0 	1196.0 	10.0 	C24
C33	cp	35.0 	66.0 	40.0 	316.0 	3380.0 	90.0 	C34
C34	cd	22.0 	75.0 	-40.0 	968.0 	4424.0 	90.0 	C33
C35	cd	15.0 	75.0 	-30.0 	0.0 	4440.0 	90.0 	C36
C36	cp	15.0 	80.0 	30.0 	620.0 	3652.0 	90.0 	C35
C37	cd	20.0 	55.0 	-40.0 	0.0 	4500.0 	90.0 	C45
C38	cd	8.0 	40.0 	-50.0 	1420.0 	4548.0 	90.0 	C43
C39	cp	5.0 	35.0 	20.0 	1020.0 	4100.0 	90.0 	C41
C40	cd	35.0 	30.0 	-10.0 	572.0 	4796.0 	90.0 	C48
C41	cd	32.0 	30.0 	-20.0 	0.0 	4496.0 	90.0 	C39
C42	cp	26.0 	32.0 	20.0 	0.0 	4492.0 	90.0 	C44
C43	cp	38.0 	15.0 	50.0 	264.0 	3696.0 	90.0 	C38
C44	cd	50.0 	30.0 	-20.0 	720.0 	4256.0 	90.0 	C42
C45	cp	68.0 	60.0 	40.0 	0.0 	4464.0 	90.0 	C37
C46	cp	62.0 	80.0 	50.0 	0.0 	4432.0 	90.0 	C47
C47	cd	58.0 	75.0 	-50.0 	0.0 	4460.0 	90.0 	C46
C48	cp	35.0 	30.0 	10.0 	572.0 	1196.0 	10.0 	C40
C49	cp	35.0 	66.0 	40.0 	316.0 	3380.0 	90.0 	C50
C50	cd	22.0 	75.0 	-40.0 	968.0 	4424.0 	90.0 	C49
C51	cd	15.0 	75.0 	-30.0 	0.0 	4440.0 	90.0 	C52
C52	cp	15.0 	80.0 	30.0 	620.0 	3652.0 	90.0 	C51
C53	cd	20.0 	55.0 	-40.0 	0.0 	4500.0 	90.0 	C61
C54	cd	8.0 	40.0 	-50.0 	1420.0 	4548.0 	90.0 	C59
C55	cp	5.0 	35.0 	20.0 	1020.0 	4100.0 	90.0 	C57
C56	cd	35.0 	30.0 	-10.0 	572.0 	4796.0 	90.0 	C64
C57	cd	32.0 	30.0 	-20.0 	0.0 	4496.0 	90.0 	C55
C58	cp	26.0 	32.0 	20.0 	0.0 	4492.0 	90.0 	C60
C59	cp	38.0 	15.0 	50.0 	264.0 	3696.0 	90.0 	C54
C60	cd	50.0 	30.0 	-20.0 	720.0 	4256.0 	90.0 	C58
C61	cp	68.0 	60.0 	40.0 	0.0 	4464.0 	90.0 	C53
C62	cp	62.0 	80.0 	50.0 	0.0 	4432.0 	90.0 	C63
C63	cd	58.0 	75.0 	-50.0 	0.0 	4460.0 	90.0 	C62
C64	cp	35.0 	30.0 	10.0 	572.0 	1196.0 	10.0 	C56
C65	cp	35.0 	66.0 	40.0 	316.0 	3380.0 	90.0 	C66
C66	cd	22.0 	75.0 	-40.0 	968.0 	4424.0 	90.0 	C65
C67	cd	15.0 	75.0 	-30.0 	0.0 	4440.0 	90.0 	C68
